,Population2010,MHLTH_AdjPrev,Latitude,Longitude,E_GR_AV14,E_GR_AT14,SDG_A2G14,SDG_OS15MX,P15,B15,BUCAP15,GDP15_SM,E_WR_T_14,State,INCM_CMI,DEV_CMI,E_BM_NM_LST,Cities in Urban Center_copy
107,144229,14.9,41.23347258,-73.05220162,0.502498366,345.5296755,0.55776838,59.98,541498.6745,207.1936798,382.6300775,23800174592.0,11.40249133,CT,HIC,MDR,Temperate Broadleaf and Mixed Forests,Bridgeport; New Haven
108,124775,16.5,41.72777813,-72.70929727,0.515315974,183.1311847,0.596249116,74.77,313698.5459,118.6540146,378.2421568,14117371904.0,10.90765047,CT,HIC,MDR,Temperate Broadleaf and Mixed Forests,Hartford; New Britain
109,73206,14.9,41.72777813,-72.70929727,0.515315974,183.1311847,0.596249116,74.77,313698.5459,118.6540146,378.2421568,14117371904.0,10.90765047,CT,HIC,MDR,Temperate Broadleaf and Mixed Forests,Hartford; New Britain
110,129779,14.5,41.23347258,-73.05220162,0.502498366,345.5296755,0.55776838,59.98,541498.6745,207.1936798,382.6300775,23800174592.0,11.40249133,CT,HIC,MDR,Temperate Broadleaf and Mixed Forests,Bridgeport; New Haven
111,85603,11.2,41.10655866,-73.40449145,0.545065545,63.877779,0.725313437,66.72,80617.93338,36.18283844,448.8187296,3881972992.0,11.40249133,CT,HIC,MDR,Temperate Broadleaf and Mixed Forests,Norwalk; Darien
112,110366,16.0,41.5604521,-73.03874947,0.536279229,47.70813722,0.777058061,83.67,96336.38968,31.49048615,326.8804888,3892117760.0,10.1999619,CT,HIC,MDR,Temperate Broadleaf and Mixed Forests,Waterbury
113,84392,11.2,26.17958738,-80.2108039,0.430632245,3027.909465,0.180784627,29.37,5406570.288,2147.19043,397.1446435,210266000000.0,25.10877228,FL,HIC,MDR,Flooded Grasslands and Savannas,Miami; Hialeah; Fort Lauderdale; Kendall; Pompano Beach; Miami Beach; Boca Raton; Palm Beach
114,154305,13.4,26.60188796,-81.92179526,0.460354716,279.335468,0.383321127,45.65,260980.0628,152.1717224,583.0779592,10016549888.0,24.32698441,FL,HIC,MDR,Temperate Coniferous Forests,Cape Coral; Fort Myers
115,107685,14.0,27.80797724,-82.70346723,0.486132762,1745.537475,0.503609067,42.89,1996766.554,1175.322021,588.6126343,76110553088.0,23.50172043,FL,HIC,MDR,Temperate Coniferous Forests,Tampa; Saint Petersburg; Clearwater; Brandon; Largo
116,85182,14.6,28.90290397,-81.26551487,0.530140693,68.30285295,0.71214599,77.15,66132.41221,39.38314438,595.5195502,2017181056.0,23.00020027,FL,HIC,MDR,Temperate Coniferous Forests,Deltona
117,165521,13.7,26.17958738,-80.2108039,0.430632245,3027.909465,0.180784627,29.37,5406570.288,2147.19043,397.1446435,210266000000.0,25.10877228,FL,HIC,MDR,Flooded Grasslands and Savannas,Miami; Hialeah; Fort Lauderdale; Kendall; Pompano Beach; Miami Beach; Boca Raton; Palm Beach
118,224669,15.3,26.17958738,-80.2108039,0.430632245,3027.909465,0.180784627,29.37,5406570.288,2147.19043,397.1446435,210266000000.0,25.10877228,FL,HIC,MDR,Flooded Grasslands and Savannas,Miami; Hialeah; Fort Lauderdale; Kendall; Pompano Beach; Miami Beach; Boca Raton; Palm Beach
119,821784,14.2,30.30682272,-81.64771776,0.522416104,370.6987998,0.782912727,38.9,399012.6391,226.6909027,568.1296293,14545363968.0,21.30102015,FL,HIC,MDR,Temperate Coniferous Forests,Jacksonville
120,97422,15.1,28.02654586,-81.94631139,0.497403905,81.7027336,0.674630546,61.6,96592.23384,40.81713867,422.5716401,3210687488.0,23.27126312,FL,HIC,MDR,Temperate Coniferous Forests,Lakeland
121,77648,14.6,27.80797724,-82.70346723,0.486132762,1745.537475,0.503609067,42.89,1996766.554,1175.322021,588.6126343,76110553088.0,23.50172043,FL,HIC,MDR,Temperate Coniferous Forests,Tampa; Saint Petersburg; Clearwater; Brandon; Largo
